c,NO2,NO,N2O,NH4+,N2
2,0.012170401,0.313073593,0.125465015,0.361104157,0.188186834
2.1,0.018105492,0.319824181,0.12871602,0.347788738,0.185565569
2.2,0.023345131,0.326487599,0.131851424,0.335267609,0.183048237
2.3,0.027960046,0.333061599,0.134872372,0.3234745,0.180631483
2.4,0.032013227,0.339543904,0.137780021,0.312350814,0.178312034
2.5,0.035561109,0.345932037,0.140575499,0.301844671,0.176086684
2.6,0.038654632,0.352223677,0.143259908,0.291909484,0.173952298
2.7,0.041340126,0.35841625,0.145834335,0.282503487,0.171905802
2.8,0.043659707,0.364507249,0.148299847,0.273589016,0.16994418
2.9,0.045652067,0.370494108,0.150657494,0.265131833,0.168064498
3,0.047352977,0.376374144,0.152908307,0.25710073,0.166263841
3.1,0.048795566,0.382144785,0.155053302,0.249467021,0.164539325
3.2,0.050010621,0.387803239,0.157093476,0.242204532,0.162888131
3.3,0.051026833,0.393346825,0.159029813,0.235289047,0.161307481
3.4,0.051871276,0.398772704,0.160863278,0.228698064,0.159794677
3.5,0.052569318,0.40407804,0.162594823,0.222410849,0.158346971
3.6,0.053145041,0.409260005,0.164225383,0.216407889,0.156961681
3.7,0.053621092,0.414315792,0.165755881,0.210671075,0.15563616
3.8,0.054019099,0.419242503,0.167187222,0.205183374,0.154367802
3.9,0.054359693,0.424037276,0.1685203,0.19992873,0.153154001
4,0.054662632,0.42869716,0.169755995,0.194892058,0.151992154
4.1,0.054946727,0.433219372,0.170895173,0.190059036,0.150879692
4.2,0.055230079,0.437601066,0.171938686,0.185416109,0.14981406
4.3,0.055530274,0.44183932,0.172887376,0.180950314,0.148792717
4.4,0.05586394,0.445931525,0.173742071,0.176649336,0.147813128
4.5,0.056247474,0.449874819,0.174503586,0.172501379,0.146872742
4.6,0.056696489,0.453666651,0.175172727,0.16849511,0.145969023
4.7,0.057226247,0.457304411,0.175750287,0.164619621,0.145099435
4.8,0.057851515,0.460785621,0.176237047,0.160864385,0.144261432
4.9,0.058586578,0.464107949,0.176633742,0.157219265,0.143452465
5,0.059445428,0.467269101,0.176941157,0.153674344,0.14266997
5.1,0.060441543,0.470267035,0.17716005,0.150220003,0.141911368
5.2,0.061588122,0.473099751,0.177291161,0.146846902,0.141174064
5.3,0.062897964,0.475765561,0.17733522,0.143545815,0.140455439
5.4,0.064383542,0.478262883,0.177292947,0.140307776,0.139752852
5.5,0.066057122,0.480590374,0.17716498,0.137123889,0.139063635
5.6,0.067930457,0.482746948,0.17695209,0.13398542,0.138385085
5.7,0.070015258,0.484731604,0.176654972,0.130883709,0.137714457
5.8,0.07232266,0.48654393,0.176274288,0.127810148,0.137048974
5.9,0.074863909,0.488183422,0.175810661,0.124756196,0.136385812
6,0.077649597,0.489650183,0.175264831,0.121713293,0.135722097
6.1,0.080690334,0.490944458,0.174637424,0.118672887,0.135054897
6.2,0.083996512,0.49206683,0.173929046,0.115626382,0.134381229
6.3,0.087578202,0.493018226,0.173140421,0.11256512,0.133698031
6.4,0.091445473,0.493799916,0.172272073,0.109480353,0.133002185
6.5,0.095608047,0.494413521,0.171324725,0.106363215,0.132290492
