c,NO2,NO,N2O,NH4+,N2
2,0.02225423,0.234838875,0.206066736,0.391586681,0.145253478
2.1,0.019818316,0.242468973,0.205529257,0.38338143,0.148802025
2.2,0.01763839,0.250018136,0.204940316,0.37554774,0.151855418
2.3,0.015704819,0.25748476,0.204301109,0.368032789,0.154476523
2.4,0.01401141,0.264867225,0.203612777,0.360793234,0.156715353
2.5,0.012554398,0.272163896,0.202876333,0.353792916,0.158612457
2.6,0.01133177,0.279373122,0.202092708,0.347001204,0.160201196
2.7,0.01034271,0.286493167,0.201262756,0.340391918,0.161509448
2.8,0.009587473,0.293522246,0.200387212,0.333942288,0.162560781
2.9,0.009066792,0.300458661,0.199466823,0.327632432,0.163375291
3,0.008782235,0.307300632,0.198502189,0.321444712,0.163970232
3.1,0.008735935,0.314046202,0.197493891,0.315363401,0.164360572
3.2,0.008930108,0.320693632,0.19644245,0.309374359,0.16455945
3.3,0.009367587,0.327241035,0.195348329,0.303464715,0.164578334
3.4,0.010051454,0.333686513,0.194211941,0.297622739,0.164427352
3.5,0.010985219,0.340028063,0.193033639,0.291837598,0.164115481
3.6,0.012172508,0.346263789,0.191813746,0.28609925,0.163650707
3.7,0.013617131,0.352391793,0.190552562,0.280398307,0.163040207
3.8,0.015323584,0.358409893,0.189250288,0.274725939,0.162290295
3.9,0.017295992,0.364316243,0.187907164,0.269073781,0.161406819
4,0.019539231,0.370108775,0.186523304,0.263433857,0.160394832
4.1,0.022058155,0.37578541,0.185098873,0.257798515,0.159259046
4.2,0.024857989,0.381344074,0.183633955,0.252160362,0.15800362
4.3,0.027944181,0.386782702,0.182128586,0.246512216,0.156632316
4.4,0.03132237,0.392099243,0.180582802,0.240847053,0.155148532
4.5,0.034998444,0.397291661,0.178996599,0.235157964,0.153555332
4.6,0.038978793,0.402357747,0.177369937,0.22943811,0.151855413
4.7,0.043269757,0.407295572,0.175702745,0.223680684,0.150051242
4.8,0.047878299,0.412102864,0.17399492,0.217878875,0.148145042
4.9,0.052811496,0.416777697,0.172246331,0.212025824,0.146138651
5,0.05807674,0.421317985,0.170456818,0.206114586,0.144033871
5.1,0.063681984,0.42572168,0.168626188,0.200138076,0.141832072
5.2,0.069635325,0.429986778,0.16675422,0.194089079,0.139534597
5.3,0.075945456,0.434111282,0.164840663,0.187960158,0.137142442
5.4,0.082621515,0.438093154,0.162885214,0.181743628,0.13465649
5.5,0.089672875,0.441930648,0.160887576,0.175431506,0.132077395
5.6,0.097109832,0.445621692,0.158847404,0.169015465,0.129405608
5.7,0.104942888,0.449164592,0.15676432,0.162486776,0.126641425
5.8,0.113183374,0.452557564,0.154637911,0.155836234,0.123784916
5.9,0.121843347,0.455798885,0.152467735,0.149054082,0.120835951
6,0.130935503,0.458886921,0.150253307,0.142130018,0.117794252
6.1,0.140473532,0.461820134,0.147994099,0.135052955,0.11465928
6.2,0.150472048,0.464597091,0.145689577,0.127811022,0.111430261
6.3,0.160946884,0.467216258,0.14333915,0.120391448,0.108106261
6.4,0.171914843,0.469676572,0.140942187,0.112780344,0.104686054
6.5,0.183394474,0.471976665,0.138498019,0.104962692,0.101168149
6.6,0.195405656,0.474115635,0.136005932,0.096921944,0.097550834
6.7,0.207970385,0.476092511,0.133465167,0.088639939,0.093831998
6.8,0.221112673,0.47790647,0.130874922,0.080096665,0.090009269
6.9,0.234859263,0.479556843,0.128234343,0.07126972,0.086079831
7,0.249239762,0.481043118,0.125542529,0.062134123,0.082040469
7.1,0.264287281,0.48236495,0.122798516,0.052661723,0.077887531
7.2,0.280039288,0.483522164,0.120001267,0.042820559,0.073616722
7.3,0.296538366,0.484514716,0.117149735,0.032573961,0.06922322
7.4,0.313833356,0.48534265,0.114242789,0.021879769,0.064701436
7.5,0.331980886,0.486006439,0.111279161,0.010688675,0.060044839
7.6,0.349989916,0.486506403,0.108257638,0,0.055246043
7.7,0.357683552,0.486843358,0.105176797,0,0.050296293
7.8,0.365761084,0.48701817,0.10203525,0,0.045185495
7.9,0.374235089,0.487031799,0.098831434,0,0.039901678
8,0.383120091,0.486885582,0.095563713,0,0.034430614
8.1,0.392433344,0.48658098,0.09223038,0,0.028755295
8.2,0.402195736,0.486119638,0.088829593,0,0.022855033
8.3,0.412432843,0.4855034,0.085359397,0,0.01670436
8.4,0.423176771,0.484734305,0.081817685,0,0.010271238
8.5,0.434468324,0.483814589,0.078202237,0,0.003514851
8.6,0.442742617,0.482746671,0.074510713,0,0
8.7,0.447726333,0.481533156,0.070740511,0,0
8.8,0.452934228,0.480176825,0.066888947,0,0
8.9,0.45836627,0.47868063,0.0629531,0,0
9,0.464022482,0.477047685,0.058929834,0,0
9.1,0.469902954,0.475281257,0.054815789,0,0
9.2,0.476008001,0.473384727,0.050607273,0,0
9.3,0.48233788,0.471361683,0.046300437,0,0
9.4,0.488893208,0.469215803,0.041890989,0,0
9.5,0.495674823,0.466950877,0.0373743,0,0
9.6,0.502683825,0.464570801,0.032745374,0,0
9.7,0.509921639,0.462079566,0.027998795,0,0
9.8,0.517390244,0.45948124,0.023128516,0,0
9.9,0.525092024,0.456779964,0.018128012,0,0
10,0.533030026,0.453979935,0.01299004,0,0
10.1,0.541207966,0.451085347,0.007706687,0,0
10.2,0.549630402,0.448100518,0.00226908,0,0
10.3,0.554970254,0.445029746,0,0,0
10.4,0.558122688,0.441877312,0,0,0
10.5,0.561352507,0.438647493,0,0,0
10.6,0.56465538,0.43534462,0,0,0
10.7,0.5680271,0.4319729,0,0,0
10.8,0.571463408,0.428536592,0,0,0
10.9,0.574960116,0.425039884,0,0,0
11,0.578513106,0.421486894,0,0,0
11.1,0.582118318,0.417881682,0,0,0
11.2,0.585771727,0.414228273,0,0,0
11.3,0.589469411,0.410530589,0,0,0
11.4,0.593207521,0.406792479,0,0,0
11.5,0.596982278,0.403017722,0,0,0
11.6,0.600789999,0.399210001,0,0,0
11.7,0.604627135,0.395372865,0,0,0
11.8,0.608490167,0.391509833,0,0,0
