c,NO2,NO,N2O,NH4+,N2
2,0.021567756,0.295314334,0.125159546,0.353103984,0.20485438
2.1,0.02378945,0.299692859,0.128558112,0.34144717,0.20651241
2.2,0.025852865,0.30404241,0.131903041,0.330131028,0.208070656
2.3,0.027754033,0.308361981,0.135193528,0.319157172,0.209533286
2.4,0.029489645,0.312650541,0.138428851,0.30852699,0.210903973
2.5,0.031057252,0.316907036,0.141608208,0.298241492,0.212186012
2.6,0.032454868,0.321130386,0.144730883,0.288301507,0.213382356
2.7,0.033681581,0.32531949,0.147796005,0.278707318,0.214495605
2.8,0.034736818,0.329473148,0.150802793,0.269459063,0.215528179
2.9,0.035620751,0.333590231,0.153750447,0.260556387,0.216482183
3,0.036334429,0.33766948,0.156638125,0.251998426,0.21735954
3.1,0.036879506,0.341709657,0.159464975,0.243783859,0.218162003
3.2,0.037258234,0.34570949,0.16223014,0.235911044,0.218891093
3.3,0.037473641,0.349667666,0.164932751,0.228377688,0.219548253
3.4,0.037529668,0.353582795,0.167571859,0.221180962,0.220134716
3.5,0.037430749,0.35745355,0.1701466,0.214317498,0.220651602
3.6,0.037182317,0.361278493,0.172656109,0.207783157,0.221099924
3.7,0.036790524,0.365056207,0.175099301,0.201573376,0.221480592
3.8,0.036262219,0.368785167,0.177475382,0.195682806,0.221794427
3.9,0.035605335,0.372463907,0.179783278,0.190105425,0.222042054
4,0.034828486,0.3760909,0.18202203,0.18483442,0.222224163
4.1,0.033941297,0.379664557,0.184190664,0.179862233,0.222341248
4.2,0.032954213,0.383183317,0.186288148,0.175180582,0.222393739
4.3,0.031878498,0.386645599,0.188313444,0.170780421,0.222382038
4.4,0.03072651,0.390049724,0.190265503,0.16665182,0.222306444
4.5,0.029511437,0.393394078,0.192143269,0.162784023,0.222167193
4.6,0.028247457,0.396677005,0.19394568,0.1591654,0.221964457
4.7,0.026949632,0.399896827,0.195671539,0.155783694,0.221698308
4.8,0.025633892,0.403051869,0.197319844,0.152625562,0.221368833
4.9,0.024317144,0.406140452,0.198889392,0.14967698,0.220976032
5,0.023017178,0.409160838,0.200379111,0.14692309,0.220519785
5.1,0.021752635,0.412111426,0.201787699,0.144348232,0.220000009
5.2,0.020542908,0.414990474,0.203114077,0.141936036,0.219416504
5.3,0.019408249,0.417796348,0.204357024,0.139669336,0.218769043
5.4,0.018369617,0.420527416,0.205515315,0.137530332,0.21805732
5.5,0.017448645,0.423182058,0.206587716,0.135500553,0.217281029
5.6,0.016667632,0.425758695,0.207572986,0.133560987,0.216439699
5.7,0.016049421,0.428255745,0.208469811,0.131692074,0.21553295
